storm_id,year,month,day,hour,latitude,longitude,grade,Central pressure,Maximum sustained wind speed
5101,1951,2,19,6,20.0,138.5,Tropical Depression,1010,
5101,1951,2,19,12,20.0,138.5,Tropical Depression,1010,
5101,1951,2,19,18,23.0,142.1,Tropical Depression,1000,
5101,1951,2,20,0,25.0,146.0,Tropical Cyclone of TS intensity or higher,994,
5101,1951,2,20,6,27.6,150.6,Tropical Cyclone of TS intensity or higher,994,
5101,1951,2,20,12,28.9,153.3,Tropical Cyclone of TS intensity or higher,994,
5101,1951,2,20,18,31.3,157.5,Tropical Cyclone of TS intensity or higher,992,
5101,1951,2,21,0,32.6,162.1,Tropical Cyclone of TS intensity or higher,990,
5101,1951,2,21,6,33.9,166.0,Extra-tropical Cyclone,990,
5101,1951,2,21,12,36.0,170.0,Extra-tropical Cyclone,990,
5102,1951,3,18,6,5.7,158.3,Tropical Depression,1002,
5102,1951,3,18,12,6.0,159.4,Tropical Depression,1002,
5102,1951,3,18,18,6.4,160.4,Tropical Depression,1000,
5102,1951,3,19,0,6.7,161.4,Tropical Depression,1000,
5102,1951,3,19,6,7.0,162.5,Tropical Depression,998,
5102,1951,3,19,12,7.3,163.5,Tropical Depression,998,
5102,1951,3,19,18,7.5,164.7,Tropical Depression,994,
5102,1951,3,20,0,7.6,166.2,Tropical Depression,990,
5102,1951,3,20,6,7.8,167.4,Tropical Depression,990,
5102,1951,3,20,12,8.0,168.5,Tropical Depression,985,
5102,1951,3,20,18,8.2,169.5,Tropical Cyclone of TS intensity or higher,980,
5102,1951,3,21,0,8.5,170.5,Tropical Cyclone of TS intensity or higher,980,
5102,1951,3,21,6,8.8,171.6,Tropical Cyclone of TS intensity or higher,978,
5102,1951,3,21,12,9.1,171.9,Tropical Cyclone of TS intensity or higher,978,
5102,1951,3,21,18,9.4,172.2,Tropical Cyclone of TS intensity or higher,978,
5102,1951,3,22,0,9.8,172.2,Tropical Cyclone of TS intensity or higher,970,
5102,1951,3,22,6,10.2,172.0,Tropical Cyclone of TS intensity or higher,970,
5102,1951,3,22,12,10.3,171.7,Tropical Cyclone of TS intensity or higher,970,
5102,1951,3,22,18,10.5,171.4,Tropical Cyclone of TS intensity or higher,970,
5102,1951,3,23,0,10.7,171.1,Tropical Cyclone of TS intensity or higher,970,
5102,1951,3,23,6,11.0,170.7,Tropical Cyclone of TS intensity or higher,975,
5102,1951,3,23,12,11.3,169.6,Tropical Cyclone of TS intensity or higher,980,
5102,1951,3,23,18,11.0,168.4,Tropical Cyclone of TS intensity or higher,985,
5102,1951,3,24,0,10.5,166.8,Tropical Cyclone of TS intensity or higher,985,
5102,1951,3,24,6,10.3,165.2,Tropical Cyclone of TS intensity or higher,985,
5102,1951,3,24,12,10.2,163.6,Tropical Cyclone of TS intensity or higher,990,
5102,1951,3,24,18,10.3,162.6,Tropical Cyclone of TS intensity or higher,995,
5102,1951,3,25,0,10.7,162.2,Tropical Cyclone of TS intensity or higher,1000,
5102,1951,3,25,6,11.2,161.7,Tropical Depression,1000,
5102,1951,3,25,12,11.3,161.2,Tropical Depression,1004,
5102,1951,3,25,18,11.3,160.3,Tropical Depression,1004,
5102,1951,3,26,0,10.9,159.5,Tropical Depression,1006,
5102,1951,3,26,6,10.5,158.7,Tropical Depression,1006,
5102,1951,3,26,12,10.2,157.8,Tropical Depression,1006,
5102,1951,3,26,18,10.0,156.8,Tropical Depression,1006,
