year,grade,count
1951,Extra-tropical Cyclone,79
1951,Tropical Cyclone of TS intensity or higher,465
1951,Tropical Depression,248
1952,Extra-tropical Cyclone,122
1952,Tropical Cyclone of TS intensity or higher,529
1952,Tropical Depression,185
1953,Extra-tropical Cyclone,87
1953,Tropical Cyclone of TS intensity or higher,557
1953,Tropical Depression,220
1954,Extra-tropical Cyclone,88
1954,Tropical Cyclone of TS intensity or higher,485
1954,Tropical Depression,154
1955,Extra-tropical Cyclone,100
1955,Tropical Cyclone of TS intensity or higher,564
1955,Tropical Depression,194
1956,Extra-tropical Cyclone,33
1956,Tropical Cyclone of TS intensity or higher,441
1956,Tropical Depression,147
1957,Extra-tropical Cyclone,108
1957,Just entering into the responsible area of RSMC Tokyo-Typhoon Center,1
1957,Tropical Cyclone of TS intensity or higher,552
1957,Tropical Depression,150
1958,Extra-tropical Cyclone,126
1958,Tropical Cyclone of TS intensity or higher,599
1958,Tropical Depression,255
1959,Extra-tropical Cyclone,136
1959,Just entering into the responsible area of RSMC Tokyo-Typhoon Center,1
1959,Tropical Cyclone of TS intensity or higher,478
1959,Tropical Depression,189
1960,Extra-tropical Cyclone,168
1960,Tropical Cyclone of TS intensity or higher,622
1960,Tropical Depression,287
1961,Extra-tropical Cyclone,132
1961,Tropical Cyclone of TS intensity or higher,456
1961,Tropical Depression,367
1962,Extra-tropical Cyclone,184
1962,Tropical Cyclone of TS intensity or higher,606
1962,Tropical Depression,335
1963,Extra-tropical Cyclone,226
1963,Tropical Cyclone of TS intensity or higher,532
1963,Tropical Depression,347
1964,Extra-tropical Cyclone,95
1964,Tropical Cyclone of TS intensity or higher,566
1964,Tropical Depression,468
1965,Extra-tropical Cyclone,203
1965,Tropical Cyclone of TS intensity or higher,603
1965,Tropical Depression,457
1966,Extra-tropical Cyclone,134
1966,Tropical Cyclone of TS intensity or higher,620
1966,Tropical Depression,464
1967,Extra-tropical Cyclone,155
1967,Just entering into the responsible area of RSMC Tokyo-Typhoon Center,1
1967,Tropical Cyclone of TS intensity or higher,848
1967,Tropical Depression,413
1968,Extra-tropical Cyclone,105
1968,Tropical Cyclone of TS intensity or higher,700
1968,Tropical Depression,455
1969,Extra-tropical Cyclone,73
1969,Tropical Cyclone of TS intensity or higher,376
1969,Tropical Depression,260
1970,Extra-tropical Cyclone,64
1970,Just entering into the responsible area of RSMC Tokyo-Typhoon Center,1
1970,Tropical Cyclone of TS intensity or higher,484
1970,Tropical Depression,254
1971,Extra-tropical Cyclone,159
1971,Tropical Cyclone of TS intensity or higher,745
1971,Tropical Depression,440
1972,Extra-tropical Cyclone,105
1972,Tropical Cyclone of TS intensity or higher,706
1972,Tropical Depression,371
1973,Extra-tropical Cyclone,28
1973,Tropical Cyclone of TS intensity or higher,328
1973,Tropical Depression,295
1974,Extra-tropical Cyclone,108
1974,Tropical Cyclone of TS intensity or higher,530
1974,Tropical Depression,459
1975,Extra-tropical Cyclone,87
1975,Tropical Cyclone of TS intensity or higher,354
1975,Tropical Depression,248
1976,Extra-tropical Cyclone,117
1976,Tropical Cyclone of TS intensity or higher,580
1976,Tropical Depression,254
1977,Extra-tropical Cyclone,90
1977,Severe Tropical Storm,142
1977,Tropical Depression,250
1977,Tropical Storm,167
1977,Typhoon,128
1978,Extra-tropical Cyclone,82
1978,Severe Tropical Storm,213
1978,Tropical Depression,342
1978,Tropical Storm,240
1978,Typhoon,199
1979,Extra-tropical Cyclone,91
1979,Severe Tropical Storm,124
1979,Tropical Depression,314
1979,Tropical Storm,180
1979,Typhoon,238
1980,Extra-tropical Cyclone,119
1980,Severe Tropical Storm,137
1980,Tropical Depression,207
1980,Tropical Storm,188
1980,Typhoon,197
1981,Extra-tropical Cyclone,156
1981,Severe Tropical Storm,143
1981,Tropical Depression,309
1981,Tropical Storm,201
1981,Typhoon,181
1982,Extra-tropical Cyclone,123
1982,Severe Tropical Storm,186
1982,Tropical Depression,220
1982,Tropical Storm,214
1982,Typhoon,299
1983,Extra-tropical Cyclone,56
1983,Severe Tropical Storm,76
1983,Tropical Depression,253
1983,Tropical Storm,145
1983,Typhoon,159
1984,Extra-tropical Cyclone,116
1984,Severe Tropical Storm,192
1984,Tropical Depression,249
1984,Tropical Storm,170
1984,Typhoon,181
1985,Extra-tropical Cyclone,135
1985,Just entering into the responsible area of RSMC Tokyo-Typhoon Center,1
1985,Severe Tropical Storm,164
1985,Tropical Depression,270
1985,Tropical Storm,208
1985,Typhoon,183
1986,Extra-tropical Cyclone,141
1986,Just entering into the responsible area of RSMC Tokyo-Typhoon Center,1
1986,Severe Tropical Storm,170
1986,Tropical Depression,363
1986,Tropical Storm,283
1986,Typhoon,289
1987,Extra-tropical Cyclone,102
1987,Just entering into the responsible area of RSMC Tokyo-Typhoon Center,1
1987,Severe Tropical Storm,135
1987,Tropical Depression,205
1987,Tropical Storm,159
1987,Typhoon,322
1988,Extra-tropical Cyclone,62
