,International number ID,Central pressure,datetime
39099,9114,1000,1991-08-28 18:00:00
39100,9114,1000,1991-08-29 00:00:00
39101,9114,998,1991-08-29 06:00:00
39102,9114,998,1991-08-29 12:00:00
39103,9114,996,1991-08-29 18:00:00
39104,9114,994,1991-08-30 00:00:00
39105,9114,994,1991-08-30 03:00:00
39106,9114,994,1991-08-30 06:00:00
39107,9114,994,1991-08-30 09:00:00
39108,9114,992,1991-08-30 12:00:00
39109,9114,992,1991-08-30 15:00:00
39110,9114,992,1991-08-30 17:00:00
39111,9114,992,1991-08-30 18:00:00
39112,9114,994,1991-08-30 21:00:00
39113,9114,994,1991-08-31 00:00:00
39114,9114,994,1991-08-31 03:00:00
39115,9114,994,1991-08-31 06:00:00
39116,9114,994,1991-08-31 09:00:00
39117,9114,994,1991-08-31 12:00:00
39118,9114,994,1991-08-31 18:00:00
39119,9114,994,1991-09-01 00:00:00
39120,9114,994,1991-09-01 06:00:00
39121,9114,992,1991-09-01 12:00:00
39122,9114,990,1991-09-01 18:00:00
39123,9114,986,1991-09-02 00:00:00
39124,9114,984,1991-09-02 06:00:00
39125,9114,984,1991-09-02 12:00:00
39202,9117,1006,1991-09-10 00:00:00
39203,9117,1004,1991-09-10 06:00:00
39204,9117,1004,1991-09-10 12:00:00
39205,9117,1002,1991-09-10 18:00:00
39206,9117,1000,1991-09-11 00:00:00
39207,9117,992,1991-09-11 06:00:00
39208,9117,990,1991-09-11 12:00:00
39209,9117,985,1991-09-11 18:00:00
39210,9117,980,1991-09-12 00:00:00
39211,9117,980,1991-09-12 03:00:00
39212,9117,980,1991-09-12 06:00:00
39213,9117,980,1991-09-12 09:00:00
39214,9117,975,1991-09-12 12:00:00
39215,9117,970,1991-09-12 15:00:00
39216,9117,965,1991-09-12 18:00:00
39217,9117,960,1991-09-12 21:00:00
39218,9117,955,1991-09-13 00:00:00
39219,9117,955,1991-09-13 03:00:00
39220,9117,955,1991-09-13 06:00:00
39221,9117,955,1991-09-13 09:00:00
39222,9117,955,1991-09-13 12:00:00
39223,9117,955,1991-09-13 15:00:00
