,year,addr,landings
0,1991,"長崎市, 長崎県, 850-8685, 日本;長崎市, 長崎県, 850-8685, 日本","[34.4, 137.7],[32.7, 129.7],[32.8, 129.7]"
1,1992,"土佐清水市, 高知県, 787-0392, 日本;宇土市, 熊本県, 日本;延岡市, 宮崎県, 日本","[32.7, 133.1],[32.7, 130.5],[32.5, 131.9]"
2,1993,"美波町, 海部郡, 徳島県, 日本;肝付町, 肝属郡, 鹿児島県, 日本;長崎市, 長崎県, 850-8685, 日本;白糠町, 白糠郡, 釧路総合振興局, 北海道, 日本;三島村, 鹿児島郡, 鹿児島県, 日本;白浜町, 西牟婁郡, 和歌山県, 日本","[33.7, 134.7],[31.2, 131.0],[32.5, 129.7],[42.8, 144.2],[30.9, 130.3],[33.5, 135.3]"
3,1994,"土佐清水市, 高知県, 787-0392, 日本;つがる市, 青森県, 日本;白浜町, 西牟婁郡, 和歌山県, 日本","[32.6, 132.8],[41.0, 140.2],[33.5, 135.3]"
4,1995,"薩摩川内市, 鹿児島県, 日本","[31.8, 130.2]"
5,1996,"屋久島町, 熊毛郡, 鹿児島県, 日本;竹富町, 八重山郡, 沖縄県, 日本;うるま市, 沖縄県, 904-2292, 日本","[30.4, 130.5],[24.2, 123.7],[26.3, 127.9],[24.4, 125.4]"
6,1997,"宿浦, 南伊勢町, 度会郡, 三重県, 日本;長崎市, 長崎県, 850-8685, 日本;美波町, 海部郡, 徳島県, 日本;枕崎市, 鹿児島県, 日本","[34.3, 136.7],[32.8, 129.7],[33.7, 134.7],[31.2, 130.3]"
7,1998,"御坊市, 和歌山県, 日本;南さつま市, 鹿児島県, 日本","[34.4, 138.1],[33.8, 135.1],[33.3, 135.5],[31.1, 130.0]"
8,1999,"串間市, 宮崎県, 888-8555, 日本;天草市, 熊本県, 863-0014, 日本","[31.5, 131.2],[32.2, 129.9]"
9,2000,"松田, 宜野座村, 国頭郡, 沖縄県, 904-1301, 日本","[26.5, 128.0]"
10,2001,"すさみ町, 西牟婁郡, 和歌山県, 649-2621, 日本;横須賀市, 神奈川県, 238-8550, 日本;糸満市, 沖縄県, 日本","[33.5, 135.5],[35.2, 139.5],[26.1, 127.6]"
11,2002,"宮古島市, 沖縄県, 日本;山根, 宮古島市, 沖縄県, 906-0203, 日本;館山市, 千葉県, 日本;那覇市, 沖縄県, 900-8585, 日本;南種子町, 熊毛郡, 鹿児島県, 891-3793, 日本;八丈町, 八丈支庁, 東京都, 日本;龍郷町, 大島郡, 鹿児島県, 日本;南大東村, 島尻郡, 沖縄県, 日本;桜山四丁目, 逗子市, 神奈川県, 249-0003, 日本","[24.6, 125.3],[24.7, 125.3],[34.9, 139.7],[26.2, 127.6],[30.3, 130.9],[32.9, 139.9],[28.4, 129.6],[25.7, 131.3],[35.3, 139.6]"
12,2003,"宇和島市, 愛媛県, 798-8601, 日本;竹富町, 八重山郡, 沖縄県, 日本;名護市, 沖縄県, 905-8540, 日本;宮古島市, 沖縄県, 日本;名護市, 沖縄県, 905-8540, 日本","[33.2, 132.3],[24.2, 123.8],[26.5, 128.2],[24.8, 125.4],[26.5, 128.2]"
13,2004,"室戸市, 高知県, 781-7185, 日本;室戸市, 高知県, 781-7185, 日本;四万十町, 高岡郡, 高知県, 日本;牟岐町, 海部郡, 徳島県, 日本;つがる市, 青森県, 日本;日置市, 鹿児島県, 日本;うるま市, 沖縄県, 904-2292, 日本;日置市, 鹿児島県, 日本;林道堀坂線, 西伊豆町, 賀茂郡, 静岡県, 410-3515, 日本;下益野, 土佐清水市, 高知県, 787-0392, 日本","[33.3, 134.1],[33.1, 133.9],[33.1, 133.2],[33.6, 134.7],[40.9, 140.2],[31.5, 130.2],[26.4, 128.1],[31.5, 130.2],[34.8, 138.8],[32.8, 132.9]"
14,2005,"小湊, 鴨川市, 千葉県, 299-5501, 日本;石垣市, 沖縄県, 907-8501, 日本;三浦市, 神奈川県, 238-0298, 日本;天草市, 熊本県, 863-0014, 日本","[35.1, 140.2],[24.3, 124.3],[35.1, 139.5],[32.5, 130.2]"
15,2006,"神津島村, 大島支庁, 東京都, 100-0601, 日本;宮崎市, 宮崎県, 880-8505, 日本;県道215号白浜南風見線, 南風見仲, 竹富町, 八重山郡, 沖縄県, 907-1432, 日本","[34.2, 139.1],[31.8, 131.5],[24.3, 123.9]"
16,2007,"指宿市, 鹿児島県, 日本;日向市, 宮崎県, 日本;南伊豆町, 賀茂郡, 静岡県, 日本;竹富町, 八重山郡, 沖縄県, 日本","[31.2, 130.5],[32.3, 131.7],[34.4, 138.8],[24.2, 123.9]"
17,2009,"志摩市, 三重県, 日本","[34.2, 136.9]"
