year,season,typhoon_count
1951,Fall,273
1951,Spring,184
1951,Summer,239
1951,Winter,96
1952,Fall,417
1952,Summer,339
1952,Winter,80
1953,Fall,351
1953,Spring,12
1953,Summer,382
1953,Winter,119
1954,Fall,450
1954,Spring,53
1954,Summer,194
1954,Winter,30
1955,Fall,253
1955,Spring,92
1955,Summer,438
1955,Winter,75
1956,Fall,329
1956,Spring,99
1956,Summer,179
1956,Winter,14
1957,Fall,470
1957,Spring,86
1957,Summer,200
1957,Winter,55
1958,Fall,373
1958,Spring,55
1958,Summer,456
1958,Winter,96
1959,Fall,405
1959,Spring,99
1959,Summer,216
1959,Winter,84
1960,Fall,307
1960,Spring,43
1960,Summer,652
1960,Winter,75
1961,Fall,430
1961,Spring,119
1961,Summer,347
1961,Winter,59
1962,Fall,510
1962,Spring,131
1962,Summer,446
1962,Winter,38
1963,Fall,379
1963,Spring,74
1963,Summer,551
1963,Winter,101
1964,Fall,525
1964,Spring,98
1964,Summer,461
1964,Winter,45
1965,Fall,521
1965,Spring,85
1965,Summer,585
1965,Winter,72
1966,Fall,599
1966,Spring,132
1966,Summer,459
1966,Winter,28
1967,Fall,614
1967,Spring,139
1967,Summer,589
1967,Winter,75
1968,Fall,745
1968,Spring,74
1968,Summer,441
1969,Fall,380
1969,Spring,60
1969,Summer,218
1969,Winter,51
1970,Fall,430
1970,Summer,336
1970,Winter,37
1971,Fall,433
1971,Spring,306
1971,Summer,576
1971,Winter,29
1972,Fall,440
1972,Spring,19
1972,Summer,597
1972,Winter,126
1973,Fall,257
1973,Summer,394
1974,Fall,463
1974,Spring,100
1974,Summer,452
1974,Winter,82
1975,Fall,415
1975,Summer,214
1975,Winter,60
1976,Fall,281
1976,Spring,244
1976,Summer,352
1976,Winter,74
1977,Fall,410
1977,Spring,17
1977,Summer,260
1977,Winter,90
1978,Fall,507
1978,Spring,57
1978,Summer,466
1978,Winter,46
1979,Fall,441
1979,Spring,136
1979,Summer,241
1979,Winter,129
1980,Fall,366
1980,Spring,184
1980,Summer,271
1980,Winter,27
1981,Fall,369
1981,Spring,99
1981,Summer,440
1981,Winter,82
1982,Fall,402
1982,Spring,151
1982,Summer,442
1982,Winter,47
1983,Fall,377
1983,Summer,281
1983,Winter,31
1984,Fall,455
1984,Summer,418
1984,Winter,35
1985,Fall,370
1985,Spring,35
1985,Summer,443
1985,Winter,113
1986,Fall,449
1986,Spring,129
1986,Summer,463
1986,Winter,206
1987,Fall,439
1987,Spring,28
1987,Summer,382
1987,Winter,75
1988,Fall,459
1988,Spring,13
1988,Summer,335
1988,Winter,71
1989,Fall,442
1989,Spring,82
1989,Summer,440
1989,Winter,67
1990,Fall,415
1990,Spring,52
1990,Summer,459
1990,Winter,91
1991,Fall,716
1991,Spring,156
1991,Summer,360
1991,Winter,36
1992,Fall,733
1992,Summer,506
1992,Winter,79
1993,Fall,454
1993,Spring,39
1993,Summer,464
1993,Winter,133
1994,Fall,679
1994,Spring,72
1994,Summer,623
1994,Winter,95
1995,Fall,414
1995,Spring,26
1995,Summer,259
1995,Winter,31
1996,Fall,464
1996,Spring,122
1996,Summer,477
1996,Winter,61
1997,Fall,427
1997,Spring,133
1997,Summer,631
1997,Winter,63
1998,Fall,328
1998,Summer,96
1998,Winter,38
1999,Fall,284
1999,Spring,60
1999,Summer,320
2000,Fall,374
2000,Spring,84
2000,Summer,403
2000,Winter,18
2001,Fall,415
2001,Spring,33
2001,Summer,360
2001,Winter,99
2002,Fall,311
2002,Spring,67
2002,Summer,575
2002,Winter,65
2003,Fall,375
2003,Spring,146
2003,Summer,323
2003,Winter,36
2004,Fall,433
2004,Spring,135
2004,Summer,706
2004,Winter,86
2005,Fall,369
2005,Spring,73
2005,Summer,407
2005,Winter,23
2006,Fall,357
2006,Spring,46
2006,Summer,401
2006,Winter,76
2007,Fall,471
2007,Spring,73
2007,Summer,271
2008,Fall,297
2008,Spring,137
2008,Summer,226
2008,Winter,31
2009,Fall,434
2009,Spring,90
2009,Summer,288
2009,Winter,11
2010,Fall,274
2010,Spring,17
2010,Summer,151
2011,Fall,303
2011,Spring,92
2011,Summer,427
2011,Winter,24
2012,Fall,382
2012,Spring,71
2012,Summer,524
2012,Winter,57
2013,Fall,528
2013,Summer,359
2013,Winter,57
2014,Fall,294
2014,Spring,74
2014,Summer,348
2014,Winter,105
2015,Fall,384
2015,Spring,242
2015,Summer,507
2015,Winter,89
2016,Fall,448
2016,Summer,321
2016,Winter,33
2017,Fall,314
2017,Spring,27
2017,Summer,450
2017,Winter,76
2018,Fall,377
2018,Spring,31
2018,Summer,666
2018,Winter,51
2019,Fall,559
2019,Spring,6
2019,Summer,363
2019,Winter,118
2020,Fall,468
2020,Spring,41
2020,Summer,225
2020,Winter,29
2021,Fall,323
2021,Spring,85
2021,Summer,383
2021,Winter,81
2022,Fall,420
2022,Spring,66
2022,Summer,236
2022,Winter,11
